proxy;timeout
185.20.224.239:3128;0.3989999294281006
51.75.147.33:3128;0.9960000514984131
183.88.62.7:8080;0.9010000228881836
5.201.129.96:8080;1.2320001125335693
5.160.179.89:3128;1.9300000667572021
37.60.18.242:3128;2.247999906539917
206.189.235.214:80;2.3559999465942383
185.74.4.47:8080;2.007999897003174
212.115.232.79:31280;2.992999792098999
35.185.16.35:80;4.408999919891357
103.241.227.108:6666;6.138000011444092
144.217.101.245:3129;8.397000074386597
182.72.150.242:8080;7.420000076293945
36.82.95.67:3128;8.928999900817871
210.56.232.178:8080;5.051000118255615
197.59.175.166:8080;8.126999855041504
82.200.233.4:3128;1.4159998893737793
51.161.116.223:3128;0.8239998817443848
80.87.185.233:8080;2.9749999046325684
45.76.52.195:8081;3.809000015258789
138.117.228.225:999;9.181999921798706
36.37.139.2:43997;7.116999864578247
187.188.17.105:999;3.1029999256134033
189.194.48.26:8080;6.671000003814697
201.144.14.229:53281;9.547999858856201
171.22.24.197:3128;1.3359999656677246
217.219.172.8:8088;4.503000020980835
8.210.227.33:3128;9.831000089645386
186.159.3.41:30334;3.8429999351501465
191.102.232.130:3128;8.197999954223633
103.52.135.60:8080;9.5
195.154.56.239:5836;8.141000032424927
176.9.85.13:3128;0.49900007247924805
139.28.152.60:80;0.5580000877380371
51.75.147.41:3128;0.7669999599456787
212.87.220.2:3128;2.493000030517578
134.249.134.41:3128;1.3359999656677246
164.163.12.50:8080;7.8470001220703125
170.79.168.221:8080;8.163999795913696
45.169.16.22:8080;8.252000093460083
201.49.89.161:92;4.884000062942505
205.147.101.141:80;6.948000192642212
213.80.237.142:3128;0.7840001583099365
83.171.98.129:44380;2.24399995803833
103.107.92.137:30137;9.086999893188477
95.84.187.154:55443;9.114000082015991
94.141.233.66:53171;8.452999830245972
89.208.35.81:3128;5.174999952316284
20.186.110.157:3128;2.7170000076293945
52.162.177.174:3128;7.436000108718872
101.108.122.40:8080;9.100000143051147
69.28.62.166:3128;2.6130001544952393
165.22.36.75:8888;0.9259998798370361
23.148.64.114:3128;3.3459999561309814
119.252.160.165:3128;4.253999948501587
103.142.57.27:53281;5.283999919891357
69.71.202.142:8080;8.21999979019165
192.81.209.183:80;9.318000078201294
117.102.124.234:8082;7.670000076293945
103.25.167.200:53391;3.7049999237060547
103.78.213.226:45163;4.11299991607666
103.141.188.33:8080;6.430999994277954
163.44.197.138:9000;1.180999994277954
161.97.72.126:3128;0.7610001564025879
54.228.137.107:80;0.4680001735687256
103.87.236.46:41183;6.582000017166138
183.88.21.132:8080;2.6449999809265137
62.210.99.150:3838;1.819000005722046
